Ticker,Summary,Label,Confidence,URL
TSLA,Additional factors may be contributing to electric vehicle maker's decline.,negative,0.9982814788818359,https://finance.yahoo.com/video/tesla-stock-falls-global-sell-140117190.html
TSLA,Sell-side analysts are revising their earnings estimates for this electric car maker.,positive,0.9991378784179688,https://finance.yahoo.com/news/trending-stock-tesla-inc-tsla-130018673.html
TSLA,"Halting orders of least-costly trim hints at demand concerns. Tesla still has 1 million trucks in inventory, CEO says",positive,0.941696286201477,https://finance.yahoo.com/news/tesla-halts-cheap-cybertruck-orders-as-expensive-versions-pile-up-170528848.html
TSLA,Tesla is performing better than the Auto-Tires-Trucks sector.,positive,0.999476969242096,https://finance.yahoo.com/news/tesla-tsla-laps-stock-market-214521155.html
TSLA,Your information may be shared with third parties.,neutral,0.9998764991760254,https://www.google.com/search?q%3Dyahoo%2Bfinance%2BTSLA%26tbm%3Dnws%26pccc%3D1
TSLA,L&F Investor Services sees opportunities for Musk's AI ventures. Tesla has postponed its robotaxi vision unveiling to October,positive,0.7847654223442078,https://finance.yahoo.com/video/why-investor-thinks-tesla-stock-115909042.html
TSLA,Renewable energy segment is well-positioned to grow. Tesla is building a Megapack factory in China to cater to growing demand,positive,0.9996613264083862,https://finance.yahoo.com/news/tesla-stock-nasdaq-tsla-secret-221748684.html
TSLA,Cathie Wood’s firm focused on high-growth sectors. Tesla is the worst-performing stock on her list since start of 2021.,negative,0.9969047904014587,https://finance.yahoo.com/news/why-tesla-inc-tsla-best-004617895.html
TSLA,Shares are up more than 75% since hitting 52-week lows in April. Carmaker set to unveil robotaxi event on Aug. 8,positive,0.9996672868728638,https://finance.yahoo.com/news/tesla-stock-notches-9th-straight-day-of-gains-201451600.html
TSLA,"‘It’s a massive hole they need to plug,’ says Halter Ferguson. Musk may have to sellTesla stock to raise cash",neutral,0.5819159150123596,https://finance.yahoo.com/news/elon-musk-financial-woes-x-125351398.html
SOUN,Deal to help SoundHound move into other industry. Second-quarter revenue jumped 54% year over year to $13.5 million,positive,0.9997251629829407,https://finance.yahoo.com/news/soundhound-ai-shares-soar-acquisition-080800584.html
SOUN,Analysts are expecting earnings of -$0.09 per share and revenue of $13.01 million.,neutral,0.999848484992981,https://sg.finance.yahoo.com/news/soundhound-ai-inc-nasdaq-soun-121855793.html%3Fprefer_reader_view%3D1%26prefer_safari%3D1
SOUN,"SoundHound AI, Inc. is a member of the S&P 500.",neutral,0.9998786449432373,https://finance.yahoo.com/news/soundhound-ai-inc-soun-stock-214519818.html
SOUN,"SoundHound AI to report earnings on May 9, 2024.",neutral,0.9998713731765747,https://finance.yahoo.com/news/why-analysts-bullish-outlook-soundhound-022126900.html
SOUN,"We, Yahoo, use cookies and personal data for these additional purposes.",neutral,0.999881386756897,https://finance.yahoo.com/news/why-soundhound-ai-inc-soun-214515537.html
SOUN,Earnings estimate revisions are one of the main determinants of stock price.,neutral,0.9998712539672852,https://uk.finance.yahoo.com/news/investors-heavily-search-soundhound-ai-130016451.html
SOUN,Your information may be shared with third parties.,neutral,0.9998764991760254,https://finance.yahoo.com/news/soundhound-ai-inc-soun-trending-130016912.html
SOUN,SoundHound AI to report earnings on August 8.,neutral,0.9998593330383301,https://sg.finance.yahoo.com/news/insider-sale-ceo-keyvan-mohajer-061150645.html%3Fprefer_reader_view%3D1%26prefer_safari%3D1
SOUN,"Company is benefiting from a strong portfolio, a strong partner base. SOUN now expects to surpass $100 million in revenues in 2025",positive,0.9997157454490662,https://www.google.com/search?q%3Dyahoo%2Bfinance%2BSOUN%26tbm%3Dnws%26pccc%3D1
